objectid,filename,title,date,description,isthereabutterfly,subject,season,flowercolor,timegeneral,iphonemodel,format,filesize,locationcredit,rights,rightsstatement
bgpc_001,20190706_lily.jpeg,Lily,2019-07-06,"Color photograph of a yellow lily at Botanica, The Wichita Gardens in Wichita, Kansas.",No,Lilies;Lilium,Summer,Yellow,Morning,iPhone XR,image/jpeg,2.1 MB,"Photo taken at Botanica, The Wichita Gardens","Copyright 2019, Kaylyn Fischer",http://rightsstatements.org/vocab/InC-EDU/1.0/
bgpc_002,20190706_orange_blackeyedsusan.jpeg,Orange Black-Eyed Susan,2019-07-06,"Color photograph of an orange black-eyed Susan at Botanica, The Wichita Gardens in Wichita, Kansas.",No,Black-Eyed Susan;Rudbeckia,Summer,Orange,Morning,iPhone XR,image/jpeg,2.5 MB,"Photo taken at Botanica, The Wichita Gardens","Copyright 2019, Kaylyn Fischer",http://rightsstatements.org/vocab/InC-EDU/1.0/
bgpc_003,20190706_coneflower.jpeg,Coneflower with Pipevine Swallowtail Butterfly,2019-07-06,"Color photograph of a pipevine swallowtail butterfly on a coneflower in Botanica, The Wichita Gardens in Wichita, Kansas.",Yes,Coneflower;Echinacea;Pipevine swallowtail;Battus philenor,Summer,Pink,Morning,iPhone XR,image/jpeg,1.8 MB,"Photo taken at Botanica, The Wichita Gardens","Copyright 2019, Kaylyn Fischer",http://rightsstatements.org/vocab/InC-EDU/1.0/
bgpc_004,20200810_blackeyedsusan.jpeg,Black-Eyed Susans,2020-08-10,"Color photograph of yellow black-eyed Susans at Botanica, The Wichita Gardens in Wichita, Kansas.",No,Black-Eyed Susan;Rudbeckia,Summer,Yellow,Morning,iPhone XR,image/jpeg,.62 MB,"Photo taken at Botanica, The Wichita Gardens","Copyright 2020, Kaylyn Fischer",http://rightsstatements.org/vocab/InC-EDU/1.0/
bgpc_005,20200810_marigold.jpeg,Marigold,2020-08-10,"Color photograph of orange and yellow marigolds at Botanica, The Wichita Gardens in Wichita, KS. The photograph focuses on an orange marigold while yellow marigolds are visible in the background.",No,Marigolds;Tagetes,Summer,Orange;Yellow,Morning,iPhone XR,image/jpeg,.58 MB,"Photo taken at Botanica, The Wichita Gardens","Copyright 2020, Kaylyn Fischer",http://rightsstatements.org/vocab/InC-EDU/1.0/
bgpc_006,20200810_rose.jpeg,Rose,2020-08-10,"Color photograph of a pink rose at Botanica, The Wichita Gardens in Wichita, Kansas.",No,Rose;Rosa,Summer,Pink,Morning,iPhone XR,image/jpeg,.53 MB,"Photo taken at Botanica, The Wichita Gardens","Copyright 2020, Kaylyn Fischer",http://rightsstatements.org/vocab/InC-EDU/1.0/
bgpc_007,20221001_sage.jpeg,Meadow Sage with Monarch Butterfly,2022-10-01,"Color photograph of a Monarch butterfly on a purple salvia plant, also known as meadow sage, at Botanica, The Wichita Gardens in Wichita, Kansas.",Yes,Meadow Sage;Salvia pratensis;Monarch butterfly;Danaus plexippus,Autumn,Purple,Morning,iPhone XR,image/jpeg,2.3 MB,"Photo taken at Botanica, The Wichita Gardens","Copyright 2022, Kaylyn Fischer",http://rightsstatements.org/vocab/InC-EDU/1.0/
bgpc_008,20230408_daffodil.jpeg,"Daffodil",2023-04-08,"Color photograph of a white and yellow daffodil at Botanica, The Wichita Gardens in Wichita, Kansas.",No,Daffodils;Narcissus,Spring,White;Yellow,Morning,iPhone 13,image/jpeg,2.3 MB,"Photo taken at Botanica, The Wichita Gardens","Copyright 2023, Kaylyn Fischer",http://rightsstatements.org/vocab/InC-EDU/1.0/
bgpc_009,20230408_lilyfloweredtulips.jpeg,Lily-flowered Tulips,2023-04-08,"Color photograph of red lily-flowered tulips at Botanica, The Wichita Gardens in Wichita, Kansas",No,Tulips;Tulipa,Spring,Red,Morning,iPhone 13,image/jpeg,2.5 MB,"Photo taken at Botanica, The Wichita Gardens","Copyright 2023, Kaylyn Fischer",http://rightsstatements.org/vocab/InC-EDU/1.0/
bgpc_010,20230408_pink_tulips.jpeg,Pink Tulips,2023-04-08,"Color photograph of pink tulips at Botanica, The Wichita Gardens in Wichita, Kansas. The photograph looks down into the center of the tulips.",No,Tulips;Tulipa,Spring,Pink,Morning,iPhone 13,image/jpeg,2.8 MB,"Photo taken at Botanica, The Wichita Gardens","Copyright 2023, Kaylyn Fischer",http://rightsstatements.org/vocab/InC-EDU/1.0/
